statefip,state_abbr,occ2010,occ_group,total_emp,emp_projected,supply_projected,stock_gap,annual_total_openings,annual_training_inflows,gap_severity,stock_gap_pct
1,AL,10,Management,8963.046473572462,9184.389592770482,9016.664676295359,167.724916475123,402.79048278250247,115.56595355731226,7.450256385204164,0.0182619557653726
1,AL,20,Management,10848.755581933197,11116.666431999885,10340.528765507033,776.1376664928522,487.5323932906655,0.0,14.32446604823944,0.06981748271754389
1,AL,30,Management,8483.025885679968,8692.514859692346,8065.927577643092,626.5872820492539,381.21883022967427,0.0,14.673622438563784,0.07208354453954084
1,AL,110,Management,2463.6341944693163,2524.4738296061623,2334.717535073054,189.75629453310813,110.71329480614183,0.0,14.961723176297202,0.07516667129114649
1,AL,120,Management,11371.028618564906,11651.83704127522,10797.935173419695,853.9018678555228,511.0028292846588,0.0,14.924285109729606,0.07328474169615307
1,AL,130,Management,1229.4408159296602,1259.8019510492427,1162.2479530031599,97.55399804608285,55.249859661102896,0.0,16.938296957923946,0.07743597949251763
1,AL,140,Management,2363.322039353695,2421.6844581364544,2235.5786138703697,186.10584426608455,106.20536533069973,0.0,14.907830943753387,0.07684974961985656
1,AL,150,Management,1317.2127370438536,1349.7414064783256,1237.121023818741,112.6203826595848,59.194243368648536,0.0,17.059710229606374,0.08343848837936149
1,AL,160,Management,3313.7406324396743,3395.573711176917,3126.0644065966244,269.5093045802928,148.91624104503546,0.0,15.828999790721227,0.07937077133480339
1,AL,205,Management,3623.1387925765375,3712.612482577009,3428.4190661925472,284.1934163844617,162.82028970315577,0.0,15.828164893641294,0.0765480959077088
1,AL,220,Management,8532.668260330252,8743.383156587024,8095.609320399047,647.7738361879766,383.4497096645644,0.0,14.748774341791508,0.07408732118756133
1,AL,230,Management,8776.488789969353,8993.22485288123,8317.057407330514,676.1674455507165,394.4067641811495,0.0,14.793996670749008,0.07518631598920685
1,AL,310,Management,11803.459700720829,12094.947042127455,11196.220412530905,898.7266295965494,530.4358563101584,0.0,14.788710158518684,0.07430595822091891
1,AL,350,Management,5283.632387008681,5414.112093510756,5033.904530763473,380.20756274728166,237.44123678076207,0.0,14.14057703667627,0.07022528462293766
1,AL,410,Management,3914.7466136238463,4011.4215811010617,3707.0860256204273,304.3355554806345,175.924858040397,0.0,15.196313654715668,0.07586725786051637
1,AL,420,Management,1517.3846830780374,1554.856614052186,1427.7702932757652,127.08632077642082,68.1897735179512,0.0,15.597416806940078,0.08173507423634074
