met2013,occ_group,occ_group_code,current_emp,supply_baseline,supply_low_immigration,supply_no_immigration,supply_high_domestic,growth_baseline,growth_low_immigration,growth_no_immigration,growth_high_domestic
10420,Architecture and Engineering,1300,7596.799999999999,7898.681936805037,7787.957649587239,7675.85906498369,7837.467225368682,0.03973803928035996,0.025162917226627085,0.010406890399074581,0.03168007916078927
10420,"Arts, Design, Entertainment, Sports, Media",2600,4981.8,4667.105476400142,4575.971520747087,4483.270515683856,4353.495964642633,-0.06316883929500543,-0.08146221832528652,-0.10007015221729983,-0.12611988344722122
10420,Building and Grounds Cleaning and Maintenance,4200,8733.4,7698.895563099763,7491.474335949474,7279.114698503552,7489.667048515876,-0.11845380228779592,-0.14220414318026484,-0.16651994658397054,-0.14241108290976304
10420,Business and Financial Operations,500,16378.6,15239.12559477763,15007.64264675143,14773.090241809348,14591.343348497096,-0.06957092823699043,-0.08370418431664303,-0.09802484694605473,-0.10912145430640623
10420,Community and Social Service,2000,5672.6,5403.08134587031,5324.486297777495,5244.890816370662,5158.6488098629425,-0.04751236719135683,-0.061367574343776224,-0.07539914388981042,-0.09060240280242883
10420,Computer and Mathematical,1000,10978.0,10918.999450100864,10728.912336504558,10535.896013238078,11044.096537357458,-0.005374435224916624,-0.022689712469980222,-0.040271815154119234,0.006020817758923075
10420,Construction and Extraction,6200,12681.0,12623.047289877168,12382.382222918537,12137.643097223528,12969.472614309912,-0.004570042593078832,-0.023548440744536242,-0.04284811156663283,0.022748412137048563
10420,"Education, Training, and Library",2200,20206.800000000003,19583.458908236316,19296.98117603769,19006.826221210846,19659.21307127371,-0.030848085385300428,-0.04502537878151473,-0.05938465164148503,-0.027099141315116537
10420,Food Preparation and Serving,4000,15647.4,14486.4123588196,14195.115714455429,13898.665215161634,14103.981724548163,-0.07419684044508353,-0.09281313736113163,-0.11175880880135783,-0.09863736310517003
10420,Healthcare Practitioners and Technical,3000,21206.2,22442.196394341292,22149.64817508202,21853.721013678027,21884.21310773271,0.05828467119716357,0.04448926139912007,0.030534514136338564,0.03197239994589826
