met2013,occ_group,occ_group_code,dominant_statefip,state_abbr,total_emp,stock_gap_pct,tightness_index,tightness_category,supply_elasticity,beta_iv,wage_pressure_pct,current_mean_wage,projected_wage_change_dollar
10420,Architecture and Engineering,1300,39,OH,7596.799999999999,-0.04611345800889,-4.6113458008890005,Loose,0.4401299513914174,2.2720562343885513,-10.477236975831321,77951.56580108576,-8167.17027535084
10580,Architecture and Engineering,1300,36,NY,13814.4,-0.0485412167339161,-4.85412167339161,Loose,0.4401299513914174,2.2720562343885513,-11.028837410509995,93214.52197519994,-10280.478071628911
10740,Architecture and Engineering,1300,35,NM,13401.8,-0.0610298505842944,-6.10298505842944,Loose,0.4401299513914174,2.2720562343885513,-13.866325250384786,99969.244304083,-13862.060565555916
10900,Architecture and Engineering,1300,42,PA,7792.6,-0.0904029012465902,-9.04029012465902,Loose,0.4401299513914174,2.2720562343885513,-20.54004753841278,92443.41238129832,-18987.92084924964
11100,Architecture and Engineering,1300,48,TX,1887.0,-0.0922768439701194,-9.22768439701194,Loose,0.4401299513914174,2.2720562343885513,-20.965817863200936,82021.91059531485,-17196.564383331224
11260,Architecture and Engineering,1300,2,AK,5660.6,-0.0460408430178189,-4.6040843017818895,Loose,0.4401299513914174,2.2720562343885513,-10.460738441514003,102540.69468267582,-10726.513866866175
11460,Architecture and Engineering,1300,26,MI,8822.2,0.0449208083334714,4.49208083334714,Tight,0.4401299513914174,2.2720562343885513,10.206260262783688,104571.68425399157,10672.858256138768
11700,Architecture and Engineering,1300,37,NC,3445.0,-0.0745135697655269,-7.451356976552689,Loose,0.4401299513914174,2.2720562343885513,-16.929902073231162,74886.7184258875,-12678.248095359111
12060,Architecture and Engineering,1300,13,GA,65987.4,-0.1078944269709967,-10.78944269709967,Very Loose,0.4401299513914174,2.2720562343885513,-24.51422054552333,93463.47413445744,-22911.84217882905
12100,Architecture and Engineering,1300,34,NJ,1640.7999999999995,-0.1029948001661403,-10.29948001661403,Very Loose,0.4401299513914174,2.2720562343885513,-23.400997782708206,98344.50055425546,-23013.59439411678
12220,Architecture and Engineering,1300,1,AL,858.6,0.2305129392865601,23.051293928656012,Very Tight,0.4401299513914174,2.2720562343885513,52.373836081325855,66127.04402515723,34633.26964316203
12260,Architecture and Engineering,1300,13,GA,5858.8,-0.0900163095174942,-9.001630951749421,Loose,0.4401299513914174,2.2720562343885513,-20.452211723587222,86996.38759901666,-17792.685383623466
12420,Architecture and Engineering,1300,48,TX,41569.8,-0.1028421205140988,-10.284212051409881,Very Loose,0.4401299513914174,2.2720562343885513,-23.36630810717969,109934.3772647734,-25687.605307396254
12540,Architecture and Engineering,1300,6,CA,6688.200000000001,-0.1384713366286721,-13.84713366286721,Very Loose,0.4401299513914174,2.2720562343885513,-31.46146636712902,95999.37314517597,-30202.810494724225
12580,Architecture and Engineering,1300,24,MD,34573.8,-0.0344161040899656,-3.44161040899656,Loose,0.4401299513914174,2.2720562343885513,-7.819532386097166,102840.673247618,-8041.659750677854
12620,Architecture and Engineering,1300,23,ME,755.1999999999999,-0.0758607620232445,-7.58607620232445,Loose,0.4401299513914174,2.2720562343885513,-17.23599173003789,62558.50105932204,-10782.578069020414
12700,Architecture and Engineering,1300,25,MA,1716.2000000000005,-0.1164650943032507,-11.64650943032507,Very Loose,0.4401299513914174,2.2720562343885513,-26.46152436003513,90104.0954372156,-23842.91716350811
12940,Architecture and Engineering,1300,22,LA,9075.0,-0.0579731019568394,-5.79731019568394,Loose,0.4401299513914174,2.2720562343885513,-13.171814772788007,108982.60286525266,-14354.986583974236
13140,Architecture and Engineering,1300,48,TX,3747.8,-0.0581221719718482,-5.81221719718482,Loose,0.4401299513914174,2.2720562343885513,-13.205684318484122,106614.44144630327,-14079.16657531391
13380,Architecture and Engineering,1300,53,WA,2762.2,-0.1152920351793665,-11.529203517936649,Very Loose,0.4401299513914174,2.2720562343885513,-26.19499873046238,86537.08885250782,-22668.389326293527
13460,Architecture and Engineering,1300,41,OR,1166.8000000000002,0.2346972279216477,23.46972279216477,Very Tight,0.4401299513914174,2.2720562343885513,53.32452998930904,105963.8838475499,56504.74302012335
13780,Architecture and Engineering,1300,36,NY,1514.8,0.2900941538891418,29.009415388914178,Very Tight,0.4401299513914174,2.2720562343885513,65.91102309034964,83993.82096646422,55361.18673167317
13820,Architecture and Engineering,1300,1,AL,10616.2,-0.1107247704716709,-11.072477047167089,Very Loose,0.4401299513914174,2.2720562343885513,-25.15729050514012,82845.35735347272,-20841.647219434595
13900,Architecture and Engineering,1300,38,ND,1719.8000000000002,0.0113468509254203,1.13468509254203,Balanced,0.4401299513914174,2.2720562343885513,2.5780683385778693,93636.7833469008,2414.0202647292044
13980,Architecture and Engineering,1300,51,VA,1832.2,-0.0469212437155866,-4.69212437155866,Loose,0.4401299513914174,2.2720562343885513,-10.660770430926316,81097.9805698068,-8645.669532664333
14010,Architecture and Engineering,1300,17,IL,1380.6,-0.0763943336791147,-7.6394333679114705,Loose,0.4401299513914174,2.2720562343885513,-17.357222210759183,100734.776921959,-17484.75907385698
14020,Architecture and Engineering,1300,18,IN,2345.0,-0.0470076401103898,-4.70076401103898,Loose,0.4401299513914174,2.2720562343885513,-10.680400177670448,82316.79317697228,-8791.762924725961
14260,Architecture and Engineering,1300,16,ID,11393.2,-0.1650156586772141,-16.50156586772141,Very Loose,0.4401299513914174,2.2720562343885513,-37.492485606929755,93887.59458064058,-35200.792884839226
14460,Architecture and Engineering,1300,25,MA,75720.2,-0.0319321404758618,-3.19321404758618,Loose,0.4401299513914174,2.2720562343885513,-7.255161884555281,104358.99300910137,-7571.4138839020325
14740,Architecture and Engineering,1300,53,WA,5469.200000000001,-0.0366274069900933,-3.66274069900933,Loose,0.4401299513914174,2.2720562343885513,-8.321952840132829,88753.75713912427,-7386.0458129639455
14860,Architecture and Engineering,1300,9,CT,8891.4,-0.0706667074549494,-7.066670745494941,Loose,0.4401299513914174,2.2720562343885513,-16.055873323672973,105779.1192677908,-16983.76139253344
15180,Architecture and Engineering,1300,48,TX,1469.0000000000002,-0.217183232547986,-21.718323254798598,Very Loose,0.4401299513914174,2.2720562343885513,-49.34525175153101,64198.52216748768,-31678.92238430924
15380,Architecture and Engineering,1300,36,NY,11600.8,-0.0836975519699695,-8.36975519699695,Loose,0.4401299513914174,2.2720562343885513,-19.0165544756429,78065.3345595891,-14845.336873117145
15500,Architecture and Engineering,1300,37,NC,923.4,-0.1910568204999174,-19.10568204999174,Very Loose,0.4401299513914174,2.2720562343885513,-43.40918401392917,71605.24149880874,-31083.25104583626
15540,Architecture and Engineering,1300,50,VT,1701.9999999999998,0.2865266391550854,28.65266391550854,Very Tight,0.4401299513914174,2.2720562343885513,65.10046368107106,87904.21800947867,57226.053519390196
15940,Architecture and Engineering,1300,39,OH,2824.8,-0.0935115243658044,-9.35115243658044,Loose,0.4401299513914174,2.2720562343885513,-21.24634419225028,88093.72925386058,-18716.696929064296
15980,Architecture and Engineering,1300,12,FL,3514.0,-0.2408402615038209,-24.08402615038209,Very Loose,0.4401299513914174,2.2720562343885513,-54.72026176415253,100727.63241863434,-55118.42412831008
16580,Architecture and Engineering,1300,17,IL,1227.8,0.2843453047247956,28.43453047247956,Very Tight,0.4401299513914174,2.2720562343885513,64.60485223190842,61616.95715914644,39807.54412246488
16620,Architecture and Engineering,1300,54,WV,1327.7999999999995,-0.0012595404189849,-0.12595404189849,Balanced,0.4401299513914174,2.2720562343885513,-0.286174666141901,86328.01626751019,-247.04891234047327
16700,Architecture and Engineering,1300,45,SC,10992.0,-0.0961698667060018,-9.61698667060018,Loose,0.4401299513914174,2.2720562343885513,-21.850334520968737,83243.30990486435,-18188.941680539563
16740,Architecture and Engineering,1300,37,NC,27129.8,-0.1303907909823275,-13.039079098232751,Very Loose,0.4401299513914174,2.2720562343885513,-29.62552095582517,90658.94447227352,-26858.184592963295
16860,Architecture and Engineering,1300,47,TN,5651.6,-0.101058261239157,-10.1058261239157,Very Loose,0.4401299513914174,2.2720562343885513,-22.961005248489354,83996.31064379266,-19286.397295458653
16980,Architecture and Engineering,1300,17,IL,88524.6,-0.0684307596275759,-6.84307596275759,Loose,0.4401299513914174,2.2720562343885513,-15.54785340357782,90883.1324016864,-14130.376194393733
17020,Architecture and Engineering,1300,6,CA,1395.8,-0.064698681048343,-6.4698681048343,Loose,0.4401299513914174,2.2720562343885513,-14.699904163260413,79348.69944369268,-11664.182773016371
17140,Architecture and Engineering,1300,39,OH,27526.4,-0.0628842336571844,-6.28842336571844,Loose,0.4401299513914174,2.2720562343885513,-14.28765151255522,92816.42665186655,-13261.287586425116
17300,Architecture and Engineering,1300,47,TN,2137.1999999999994,-0.2277152649494446,-22.77152649494446,Very Loose,0.4401299513914174,2.2720562343885513,-51.738188739382636,65166.23931623933,-33715.83189179368
17460,Architecture and Engineering,1300,39,OH,20659.4,-0.0408906047751013,-4.08906047751013,Loose,0.4401299513914174,2.2720562343885513,-9.290575350718717,80996.81461987732,-7525.070093941656
17660,Architecture and Engineering,1300,16,ID,1681.6000000000004,-0.1375708320563101,-13.75708320563101,Very Loose,0.4401299513914174,2.2720562343885513,-31.256866664355975,94929.10323501423,-29671.863223837234
17780,Architecture and Engineering,1300,48,TX,2087.6000000000004,-0.1462232024650077,-14.62232024650077,Very Loose,0.4401299513914174,2.2720562343885513,-33.222733877288015,76740.2854953056,-25495.220826776433
17820,Architecture and Engineering,1300,8,CO,11084.6,-0.0959047677405638,-9.59047677405638,Loose,0.4401299513914174,2.2720562343885513,-21.7901025452534,97610.40901700738,-21269.40821964718
17900,Architecture and Engineering,1300,45,SC,7324.4,-0.043318439931855,-4.3318439931855,Loose,0.4401299513914174,2.2720562343885513,-9.842193151115714,79020.78471211663,-7777.378260893835
18140,Architecture and Engineering,1300,39,OH,21150.6,-0.0924106826005417,-9.241068260054169,Loose,0.4401299513914174,2.2720562343885513,-20.996226752666235,85875.6926649968,-18030.655157365494
18580,Architecture and Engineering,1300,48,TX,3917.4,-0.0659835732293912,-6.598357322939121,Loose,0.4401299513914174,2.2720562343885513,-14.99183889230718,84445.1724137931,-12659.884200606888
19100,Architecture and Engineering,1300,48,TX,89125.20000000001,-0.1069878301699663,-10.69878301699663,Very Loose,0.4401299513914174,2.2720562343885513,-24.30823665413755,100570.27416403413,-24446.860247508368
19300,Architecture and Engineering,1300,1,AL,2384.6000000000004,-0.1431293886193912,-14.31293886193912,Very Loose,0.4401299513914174,2.2720562343885513,-32.51980197369095,88064.34535594388,-28638.350719180256
