czone,total_emp,recent_immigrants,interstate_movers,intercounty_movers,young_entrants,established_immigrants,n_obs,pct_recent_immigrants,pct_interstate_movers,pct_intercounty_movers,pct_young_entrants,pct_established_immigrants,pct_foreign_born
100,203395.3693681538,227.956250500679,107.56100276708602,5753.790809339285,20027.68782315254,7647.327483093739,12582.0,0.11207543770972929,0.05288271955316558,2.8288701100784115,9.846678361148733,3.7598336219994115,3.871909059709141
200,93154.4,361.8,218.2,1996.6,8264.8,6014.0,4017.0,0.38838745137105707,0.23423477581305877,2.143323342751389,8.872152040053932,6.455948403940124,6.844335855311182
301,23068.67827651799,6.892561930418014,9.815755444765092,354.5077431857586,2304.4489343315363,443.6913534611464,4000.0,0.029878443176495618,0.04255014234932012,1.536749262078956,9.98951438269992,1.9233496958201874,1.9532281389966832
302,285152.27084773144,464.5295975478606,331.06079970695936,9022.957630332221,29430.94568535462,17185.30567424505,15396.0,0.16290580333337584,0.11609965395777704,3.1642594335678265,10.321133195909374,6.026711841766057,6.189617645099432
401,261782.20009939442,1087.7120217993506,496.5471025036997,7390.779222190991,24333.57432046326,27484.077907462673,18164.0,0.41550266648624856,0.18967947488987752,2.8232550644714705,9.295350986898345,10.498833723999347,10.914336390485596
402,22596.25858925581,62.60448203086853,52.07652924060822,447.84648436307907,1912.2119949162006,1186.4382825911046,4507.0,0.2770568489627573,0.23046527386339014,1.981949722313868,8.46251598406397,5.250596145838225,5.527652994800983
500,543861.2378004272,1791.5676001588058,1760.7321326235992,10807.216234611335,51597.21995736373,64268.20059499247,29418.0,0.3294163061527527,0.3237465754582255,1.9871275030225815,9.487203053124665,11.817021719532073,12.146438025684828
601,38369.966020015214,44.95711412270903,39.98993909247802,480.41848438518065,4350.140521427102,2714.0791162883047,6067.0,0.11716745878601433,0.10422198203568324,1.2520690900132054,11.337358284752987,7.073446754872129,7.190614213658144
602,15439.378959019727,16.245342890914618,10.667712998382195,278.3571818723514,1347.252441949151,642.1162913951979,10100.0,0.1052201836228914,0.06909418459574819,1.802904006768578,8.726079238841939,4.158951555626348,4.264171739249239
700,153820.25862846052,600.557176053492,318.27656759682867,3434.3915670688266,15863.87424560083,14641.284771455092,18467.0,0.3904278808320598,0.20691459657833375,2.2327303293412744,10.31325417539353,9.518437234473677,9.908865115305735
800,218998.47299747652,880.1948129306547,472.74178904062137,4672.110536822676,18261.697417346855,16031.088495766744,13679.0,0.4019182421152302,0.21586533575787473,2.1333986821344237,8.338732762560074,7.320182774037637,7.722101016152867
900,1012405.2076414507,8372.662724905935,5022.742705780513,41620.566279395,90116.58095281756,163324.1387607676,53596.0,0.8270070779674578,0.49611980142632245,4.111058098600297,8.90123640935803,16.132289475402402,16.95929655336986
1001,32361.51589883268,52.287581633031365,26.505914838612078,766.9295134752989,4566.5312553405765,1451.6728597819806,4870.0,0.16157333851878505,0.08190566511616405,2.3698812993583003,14.110993037582942,4.485799936937887,4.647373275456672
1002,75060.46803210324,77.46280355789459,80.82688359023977,1417.1060720705045,7568.9572588126,3958.7465702267946,19057.0,0.10320053363478078,0.10768236024810056,1.8879526190329783,10.083813034013282,5.27407658653773,5.377277120172511
1100,214772.48141783214,451.32013302021267,284.4261295335936,4917.096760815443,20195.262408033024,18469.056075784705,13813.0,0.21013871518399305,0.1324313653480833,2.2894444988273,9.403095906287858,8.599358704551083,8.809497419735077
1201,23464.12788832537,55.88790143390361,44.933644776450095,654.7660878440125,2545.8824943966997,1535.63299672055,17886.0,0.2381844392422987,0.19149931755531785,2.7904982915209597,10.850104919788684,6.5445986487510055,6.782783087993305
1202,27032.15487551689,61.23877692222595,42.67206999659538,812.1012479066849,3017.3255051374435,1477.6863270401955,4636.0,0.22654049299521478,0.15785670877183236,3.0042046283265695,11.161986600891536,5.466402267392085,5.6929427603873
1203,225581.5472009833,1175.4633579829126,556.9252600485081,7341.305969694452,19019.23048942165,19820.554154126796,12540.0,0.5210813440053349,0.2468842274374118,3.2543911772861764,8.431199592968634,8.786425308302166,9.3075066523075
1204,31762.769356558827,76.80289788736555,64.14504829448488,865.2528456758337,3415.5200338767922,2185.1328740606814,17886.0,0.24180164212131644,0.20195042684853073,2.7241102183590424,10.75321863637028,6.879541420116958,7.121343062238275
1301,27188.311104213448,47.81362816765905,85.93032578676939,749.6946295708418,2430.1532504186034,1747.7552428998054,10747.0,0.17586097196103231,0.31605613698253043,2.7574152241279144,8.938228053606448,6.428333250272948,6.60419422223398
1302,185979.57079731248,908.6484911963416,742.7311300312867,5865.377855239795,17412.151850811602,11451.97748683836,13284.0,0.48857435647414243,0.39936167550399554,3.153775347525726,9.362400276634695,6.157653465777246,6.646227822251388
