czone,occ_group,total_emp,recent_immigrants,interstate_movers,intercounty_movers,young_entrants,established_immigrants,pct_recent_immigrants,pct_interstate_movers,pct_intercounty_movers,pct_young_entrants,pct_foreign_born
100,Architecture and Engineering,745.3354122340678,0.0,0.0,17.0,61.96674720525741,186.5575928270817,0.0,0.0,2.2808523144022113,8.313941104652242,5.006003733752407
100,"Arts, Design, Entertainment, Sports, Media",492.1857282984257,2.2800000000000002,3.08,18.77251016616821,63.14723237752914,67.36375830769539,0.4632397627380153,0.6257800303653892,3.8141110330582206,12.829960063214438,3.200570588667649
100,Building and Grounds Cleaning and Maintenance,1526.8894819056989,0.0,0.0,54.573687455654145,114.8555643451214,329.7669480860233,0.0,0.0,3.5741740382899985,7.5221923856447725,4.319460602668423
100,Business and Financial Operations,1399.0091668689251,0.09798624277114867,0.0,67.37083323121071,40.34110548138618,202.8073825776577,0.0070039743192282,0.0,4.815610564010177,2.883548330971429,2.9063042416870832
100,Community and Social Service,751.8917473387718,0.0,0.0,22.074558994770047,28.163526778221133,223.573956656456,0.0,0.0,2.9358693020504925,3.745689040729928,5.946971953017664
100,Computer and Mathematical,763.7431773221493,1.52,1.52,28.73854137897491,59.54883024096489,181.4,0.1990197811428512,0.1990197811428512,3.762854089216028,7.796970501230023,4.949307715263012
100,Construction and Extraction,2137.088301165104,0.0,2.48,27.427980189323428,172.1751445066929,976.4157262682916,0.0,0.1160457431098166,1.2834275576900664,8.056529269886786,9.137813591847996
100,"Education, Training, and Library",2516.324049377442,0.0,2.0047097635269164,39.48987409591674,172.35536357045174,463.386172747612,0.0,0.0796681875699951,1.569347719968215,6.8494899777750735,3.6830405278068814
100,"Farming, Fishing, and Forestry",120.70334323048591,2.0436513686180113,1.0031054472923278,0.08462448239326475,16.271488971710205,73.12960147857666,1.6931191083213084,0.8310502596244363,0.0701094767786773,13.480561959778866,13.81036450042846
100,Food Preparation and Serving,2017.7437920880318,5.6146123671531685,1.24,87.85239631533622,609.2615589547157,639.4982118606567,0.2782619076400661,0.0614547795841217,4.353991654432176,30.19518936664553,6.617007335758883
100,Healthcare Practitioners and Technical,3482.067431738377,7.32,0.0,92.10716382622718,172.7489475262165,582.0221596479416,0.210219938111468,0.0,2.6451861037120663,4.9611028767462395,3.553188855616749
100,Healthcare Support,1010.4362255620956,0.0,0.0,9.543782818317414,117.47673701167108,111.28569124341011,0.0,0.0,0.9445210471356866,11.626338608982463,2.2027256827911725
100,"Installation, Maintenance, and Repair",1522.8310077297688,2.6399999999999997,2.4,39.34786838293075,114.31902642846107,147.32653431892396,0.1733613241784262,0.1576012037985693,2.583863093357314,7.507006742585803,2.108264587522897
100,Legal,237.0376145207882,0.0,0.0,0.0,2.12,22.8,0.0,0.0,0.0,0.8943728210756507,1.92374531325706
100,"Life, Physical, and Social Science",308.30028320670124,0.0,0.0,18.313880078792575,10.855062084197998,198.3965799927711,0.0,0.0,5.940273517852708,3.52093808390055,12.870346918219033
100,Management,3957.2081476724147,8.6,0.0,122.3451812517643,181.7010671555996,774.3110505282879,0.2173249341220128,0.0,3.0917044715913256,4.591647959243036,4.1307458189128665
100,Office and Administrative Support,5036.847145437003,0.0,2.8,183.49848767280577,556.6078897559643,561.5093950331211,0.0,0.0555903309977668,3.643122024043182,11.05072029553663,2.229606652017644
100,Personal Care and Service,1303.7698419892788,0.0,0.0,27.16576968431473,187.69381866335868,269.7887894690037,0.0,0.0,2.0836323106588717,14.396238708588118,4.138595337615153
100,Production,3908.1038218688964,15.475000121593476,0.5968252968788147,50.86079735398293,386.69454899668693,803.9556711316109,0.3959720833156671,0.0152714800855368,1.3014187870183234,9.894684650720604,4.510272561377946
100,Protective Service,743.219245108366,0.0,0.0,40.47226151585579,68.77032011270524,76.36146100759507,0.0,0.0,5.445534649732419,9.253032744419595,2.0548838451152083
100,Sales and Related,3964.0186728656286,0.0,1.6675600457191468,114.63078465223312,563.4760336744786,523.7611334562301,0.0,0.0420674114663958,2.891782156247144,14.21476739076852,2.642576519840649
100,Transportation and Material Moving,2734.3202361023423,0.0,2.7199999999999998,89.0871783208847,304.9875507891178,231.909666454792,0.0,0.0994762780191849,3.2581106318356734,11.154053821576678,1.69628753349951
200,Architecture and Engineering,181.16,0.0,2.6399999999999997,17.48,6.08,29.8,0.0,1.4572753367189224,9.648929123426807,3.356149260322367,3.2899094722896893
200,"Arts, Design, Entertainment, Sports, Media",234.56,0.0,0.0,2.44,8.76,39.8,0.0,0.0,1.0402455661664394,3.734652114597544,3.3935879945429734
200,Building and Grounds Cleaning and Maintenance,1087.6,0.0,0.0,9.92,66.0,977.8,0.0,0.0,0.9121000367782274,6.068407502758367,17.98087532180949
200,Business and Financial Operations,535.76,0.0,0.0,18.68,35.64,87.8,0.0,0.0,3.486635807077796,6.652232342840077,3.2775869792444374
200,Community and Social Service,287.6,0.0,0.0,0.24,16.2,22.4,0.0,0.0,0.0834492350486787,5.632823365785813,1.5577190542420027
200,Computer and Mathematical,231.51999999999998,0.0,0.0,22.8,17.080000000000002,7.2,0.0,0.0,9.847961299239808,7.3773324118866626,0.6219765031098826
200,Construction and Extraction,1162.44,27.28,1.72,23.4,137.95999999999998,1015.6,2.3467877911978254,0.1479646261312411,2.0130071229482813,11.868139430852343,19.820377825952303
200,"Education, Training, and Library",927.36,0.0,0.0,16.16,36.239999999999995,114.6,0.0,0.0,1.7425810904071772,3.907867494824016,2.471532091097308
