met2013,occ_group,occ_group_code,dominant_statefip,demand_scenario,w_current,w_equilibrium,pct_change,supply_eq,demand_eq,demand_elasticity,converged,iterations
10420,Management,10,39,low,96757.97748814484,98264.6695977164,1.5571761095938137,33952.86001371281,33953.90334803076,-0.15,True,27
10420,Business and Financial Operations,500,39,low,82598.20584389458,86365.00159891444,4.560384473893864,16400.01097247854,16428.236257528035,-2.0,True,27
10420,Computer and Mathematical,1000,39,low,80712.82780469624,89080.1340144612,10.3667613158241,11073.889699422843,11078.01757965653,-0.8231750097547106,True,27
10420,Architecture and Engineering,1300,39,low,77951.56580108576,81080.30169983592,4.013692177439989,6007.179445477897,6007.343261014194,-0.15,True,27
10420,"Life, Physical, and Social Science",1600,39,low,77901.91144447135,66430.74080481942,-14.725146568231004,2781.9804851463305,2774.2887976634283,-2.0,True,27
10420,Community and Social Service,2000,39,low,53760.3083284968,58626.0389192426,9.050786243661875,5010.073006834245,5010.748801927959,-0.53341971160154,True,27
10420,Legal,2100,39,low,118624.55764403354,119896.33737406696,1.0721049294444915,3379.6996242139485,3383.5570621784113,-2.0,True,27
10420,"Education, Training, and Library",2200,39,low,48311.24294407303,55570.27969035763,15.025564038350137,17650.775226578626,17660.852973182766,-0.9135782331235004,True,27
10420,"Arts, Design, Entertainment, Sports, Media",2600,39,low,45112.88953256093,42723.91216089678,-5.295553879207541,5234.157717067441,5236.241984249199,-1.346561844658034,True,27
10420,Healthcare Practitioners and Technical,3000,39,low,82216.33215872529,85089.36975206346,3.4944852414378462,17469.041515504265,17469.540792758606,-0.15374853088667,True,27
10420,Healthcare Support,3600,39,low,27937.71030436377,34816.20230248743,24.620815103266587,7095.115439467303,7100.161441356504,-0.989039121363835,True,27
10420,Protective Service,3700,39,low,63297.05784266499,58020.99939887891,-8.335392865969494,5801.836402906666,5804.541933087452,-1.1565491272442132,True,27
10420,Food Preparation and Serving,4000,39,low,22224.218163107795,24839.297614215244,11.766800667249036,13927.356092248192,13934.887849233046,-0.926395054870345,True,27
10420,Building and Grounds Cleaning and Maintenance,4200,39,low,28482.560263157895,28787.916979192734,1.072083103532716,8156.787272252691,8157.209341142713,-0.15,True,27
10420,Personal Care and Service,4300,39,low,22903.042715411364,22606.825412355018,-1.2933534934073476,8526.570073219398,8527.123910562252,-0.2170829689509716,True,27
10420,Sales and Related,4700,39,low,56815.25791557737,57324.15475053953,0.8957045231024641,25166.37685183933,25167.368285299923,-0.15,True,27
10420,Office and Administrative Support,5000,39,low,38633.171450201626,39387.8869492831,1.9535426959557456,33120.926381914695,33122.269676453725,-0.15,True,27
10420,Construction and Extraction,6200,39,low,49071.63257942612,49516.89666627144,0.9073757351044374,12753.06601487538,12760.312890338282,-0.9956032769583476,True,27
