czone,lat,lon
100,36.4741657,-82.3381488
200,36.049652800000004,-83.3721768
301,36.583951000000006,-83.52296966666667
302,36.02555075,-84.191090625
401,36.2059598,-80.4842122
402,36.65709233333333,-80.04357399999999
500,36.226153,-79.641437
601,36.326176000000004,-81.33271450000001
602,36.634797,-80.9974405
700,34.987527,-81.845697
800,35.379802999999995,-81.47021125
900,35.10001688888889,-80.65010755555555
1001,36.25355366666667,-81.83047333333333
1002,35.83272025,-82.05543300000001
1100,35.83887025,-81.19485925
1201,35.0184465,-83.4133855
1202,35.400889,-83.47349833333334
1203,35.5157954,-82.7041536
1204,34.98150225,-83.8838085
1301,34.619344,-79.919331
1302,33.969682,-79.48439928571429
1400,35.02673057142857,-79.40115328571429
1500,34.317659,-78.23177439999999
1600,35.86112633333333,-77.83729833333334
1701,35.872405900000004,-78.8217659
1702,36.381793,-78.2526665
1800,35.09263033333334,-78.10449133333333
1900,35.154079875,-77.228506625
2000,36.51546727272727,-76.33091627272728
2100,35.67652883333333,-76.43674583333335
2200,37.007344375,-78.351101375
2300,37.3842908,-79.15674320000001
2400,37.40881482352941,-77.40681870588234
2500,37.1483703076923,-76.61213584615385
2600,36.41204833333333,-77.34723766666666
2700,30.69963357142857,-89.02393542857143
2800,31.82372025,-89.1151995
2900,31.350722400000002,-89.42611079999999
3001,33.108205,-89.8399095
3002,32.9483355,-90.4556745
3003,32.30161285714286,-89.98120614285713
3101,31.1874398,-90.48860540000001
3102,31.542612499999997,-90.280548
3201,31.673299999999998,-92.00414950000001
3202,31.60882275,-91.30403625
3203,32.102354,-91.01090450000001
3300,30.01044555555556,-90.05014233333333
3400,29.58969275,-90.9418865
3500,30.579085199999998,-91.0593415
3600,31.293164666666666,-92.36031466666668
3700,30.461917166666666,-93.11456199999999
3800,30.188472285714287,-92.08776028571428
3901,32.463957,-91.9770975
3902,32.761325,-91.3430695
4001,33.2318335,-93.4221785
4002,32.383977625,-93.3818285
4003,32.28243333333334,-92.62175733333333
4004,31.560402,-93.559579
4101,33.190835,-91.772267
4102,33.75378671428572,-91.75627671428572
4103,33.5719175,-92.661109
4200,34.831161571428574,-92.46537471428572
4301,34.600066,-91.37782566666665
4302,35.34812066666667,-91.40692466666667
4401,36.981016249999996,-83.95876675
4402,37.545617,-84.14432225
4501,37.643275599999996,-83.49641940000001
4502,37.132251,-83.1283366
4601,37.2124766,-85.2261068
4602,36.7603704,-84.7068458
4701,33.565332500000004,-89.9140465
4702,34.19777116666666,-90.03644683333333
4800,33.265155199999995,-90.8509608
4901,35.6111042,-88.899956
4902,35.9344325,-89.44856625
4903,35.640294000000004,-88.12243066666667
5000,34.09341116666666,-88.80875250000001
5100,34.9246476,-88.41751119999999
5201,34.687581333333334,-89.040457
5202,34.974739285714286,-89.83798242857142
5300,34.941856200000004,-90.69118399999999
5401,36.9148924,-86.4594266
5402,36.88387666666667,-85.68195266666667
5500,35.522466599999994,-87.1686092
5600,36.209796272727274,-86.45289545454546
5700,35.36180975,-86.24859574999999
5800,36.1096692,-87.9957014
5900,36.63077966666667,-87.57227566666667
6000,34.740304200000004,-86.8588298
6100,34.3955585,-86.035002
6200,34.9025092,-87.7023314
6301,35.821687999999995,-85.63128325
6302,36.349851,-85.38228124999999
6401,35.078722,-85.41310642857142
6402,35.87911025,-85.02199575
6501,34.7785245,-84.3859775
6502,35.3295688,-84.6172564
6600,34.394100875,-85.10251687499999
6700,28.1646925,-82.5523645
6800,27.595858333333336,-81.61915566666666
6900,27.199465,-82.156692
