met2013,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
31080,45-4,Forest and Conservation Workers,"Farming, Fishing, and Forestry",6000,low,390.34,330.96,240.68,159.85,87.15
31080,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,3145.97,2216.56,780.00,0.00,0.00
31080,47-2,Construction Laborers,Construction and Extraction,6200,low,24290.20,17114.17,6022.42,0.00,0.00
31080,47-3,Helpers--Electricians,Construction and Extraction,6200,low,531.85,374.72,131.86,0.00,0.00
31080,47-4,Construction and Building Inspectors,Construction and Extraction,6200,low,2103.26,1481.90,521.47,0.00,0.00
31080,47-5,"Service Unit Operators, Oil and Gas",Construction and Extraction,6200,low,126.55,89.17,31.38,0.00,0.00
31080,51-1,First-Line Supervisors of Production and Operating Workers,Production,7700,low,4924.63,4393.06,3567.41,2808.97,2109.70
31080,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,13833.53,12340.33,10021.03,7890.54,5926.24
31080,51-3,Bakers,Production,7700,low,7888.18,7036.72,5714.21,4499.36,3379.27
31080,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,9839.48,8777.40,7127.74,5612.37,4215.21
31080,51-5,Printing Press Operators,Production,7700,low,1713.84,1528.85,1241.51,977.56,734.21
31080,51-6,Laundry and Dry-Cleaning Workers,Production,7700,low,7168.14,6394.40,5192.61,4088.65,3070.81
31080,51-7,Cabinetmakers and Bench Carpenters,Production,7700,low,1316.44,1174.34,953.63,750.89,563.96
31080,51-8,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Production,7700,low,1859.57,1658.85,1347.08,1060.68,796.63
31080,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,23840.51,21267.15,17270.11,13598.45,10213.21
31080,53-1,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",Transportation and Material Moving,9000,low,3778.63,3279.90,2505.97,1795.83,1141.78
31080,53-2,Flight Attendants,Transportation and Material Moving,9000,low,3187.23,2766.56,2113.76,1514.76,963.07
31080,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,23412.87,20322.68,15527.30,11127.17,7074.58
31080,53-6,Parking Attendants,Transportation and Material Moving,9000,low,3033.99,2633.54,2012.12,1441.93,916.77
31080,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,46205.52,40107.00,30643.27,21959.57,13961.76
31140,13-1,"Business Operations Specialists, All Other",Business and Financial Operations,500,low,690.99,352.53,0.00,0.00,0.00
31140,13-2,Accountants and Auditors,Business and Financial Operations,500,low,272.88,139.21,0.00,0.00,0.00
31140,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,579.92,57.49,0.00,0.00,0.00
31140,23-1,Lawyers,Legal,2100,low,1180.06,1100.70,975.71,858.96,749.58
31140,23-2,Paralegals and Legal Assistants,Legal,2100,low,572.70,534.18,473.53,416.87,363.78
31140,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,6228.53,1387.50,0.00,0.00,0.00
31140,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,3214.87,716.16,0.00,0.00,0.00
31140,49-1,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",7000,low,154.57,69.68,0.00,0.00,0.00
31140,49-2,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Installation, Maintenance, and Repair",7000,low,113.27,51.06,0.00,0.00,0.00
31140,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,425.91,191.99,0.00,0.00,0.00
31140,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,783.01,352.97,0.00,0.00,0.00
31140,51-1,First-Line Supervisors of Production and Operating Workers,Production,7700,low,1494.13,1409.27,1277.44,1156.33,1044.65
31140,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,8240.38,7772.32,7045.27,6377.32,5761.41
31140,51-3,Bakers,Production,7700,low,1050.57,990.90,898.20,813.05,734.52
31140,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,3727.13,3515.43,3186.58,2884.47,2605.89
31140,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,4760.68,4490.27,4070.23,3684.34,3328.51
31140,53-1,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",Transportation and Material Moving,9000,low,758.95,688.54,579.25,478.95,386.57
31140,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,4409.79,4000.64,3365.64,2782.89,2246.10
31140,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,9407.47,8534.62,7179.96,5936.79,4791.64
31180,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,1071.17,888.95,616.32,376.97,165.64
31180,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,682.09,615.89,513.90,421.14,336.43
31180,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,2557.91,2309.63,1927.17,1579.33,1261.67
31180,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,896.28,809.29,675.27,553.39,442.08
31180,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,630.85,0.00,0.00,0.00,0.00
31180,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,328.30,0.00,0.00,0.00,0.00
31180,33-3,Police and Sheriff's Patrol Officers,Protective Service,3700,low,70.36,23.51,0.00,0.00,0.00
31180,35-2,"Cooks, Restaurant",Food Preparation and Serving,4000,low,161.63,101.53,8.88,0.00,0.00
31180,35-3,Fast Food and Counter Workers,Food Preparation and Serving,4000,low,419.44,263.49,23.03,0.00,0.00
31340,11-1,General and Operations Managers,Management,10,low,75.75,0.00,0.00,0.00,0.00
31340,11-3,Financial Managers,Management,10,low,31.81,0.00,0.00,0.00,0.00
31340,11-9,"Managers, All Other",Management,10,low,45.02,0.00,0.00,0.00,0.00
31340,15-1,Software Developers,Computer and Mathematical,1000,low,59.55,0.00,0.00,0.00,0.00
31340,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,1228.22,1078.38,854.22,657.44,483.71
31340,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,1047.06,903.82,683.15,482.45,299.14
31340,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,384.03,331.49,250.56,176.94,109.71
31340,27-2,Producers and Directors,"Arts, Design, Entertainment, Sports, Media",2600,low,20.89,0.00,0.00,0.00,0.00
31340,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,145.01,0.00,0.00,0.00,0.00
31340,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,69.77,0.00,0.00,0.00,0.00
31340,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,573.32,495.64,375.57,265.93,165.40
31340,47-2,Construction Laborers,Construction and Extraction,6200,low,340.63,226.83,50.89,0.00,0.00
31340,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,340.77,237.30,80.07,0.00,0.00
31340,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,578.34,535.04,467.78,405.98,348.98
31340,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,819.04,757.72,662.46,574.94,494.23
31340,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,889.30,822.72,719.29,624.26,536.62
31460,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,181.35,124.39,36.64,0.00,0.00
31460,45-2,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",6000,low,5014.72,4797.66,4467.84,4172.81,3907.63
31900,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,581.04,508.22,396.04,293.99,200.79
31900,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,227.99,0.00,0.00,0.00,0.00
31900,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,418.13,371.55,299.56,233.81,173.53
31900,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,14.87,0.00,0.00,0.00,0.00
31900,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,1136.98,1080.73,993.36,913.09,839.07
32580,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,593.65,529.35,430.27,340.16,257.86
32580,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,4486.85,4000.81,3252.02,2570.94,1948.88
32580,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,953.74,850.42,691.26,546.49,414.26
32580,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,1593.02,1420.46,1154.60,912.79,691.93
32580,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,6671.96,6234.09,5557.39,4939.54,4373.17
32580,31-9,Medical Assistants,Healthcare Support,3600,low,625.81,584.73,521.26,463.31,410.19
32580,41-1,First-Line Supervisors of Retail Sales Workers,Sales and Related,4700,low,241.47,0.00,0.00,0.00,0.00
32580,41-2,Retail Salespersons,Sales and Related,4700,low,1352.54,0.00,0.00,0.00,0.00
32580,41-3,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sales and Related,4700,low,226.59,0.00,0.00,0.00,0.00
32580,41-4,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related,4700,low,116.53,0.00,0.00,0.00,0.00
32580,45-2,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",6000,low,1330.35,1212.21,1032.58,871.75,727.07
32780,11-1,General and Operations Managers,Management,10,low,300.93,0.00,0.00,0.00,0.00
32780,11-3,Financial Managers,Management,10,low,174.37,0.00,0.00,0.00,0.00
32780,11-9,"Managers, All Other",Management,10,low,269.62,0.00,0.00,0.00,0.00
32780,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,820.43,713.16,552.66,411.78,287.39
32780,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,209.72,134.31,18.13,0.00,0.00
32780,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,143.51,91.91,12.40,0.00,0.00
32780,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,295.07,0.00,0.00,0.00,0.00
32780,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,137.07,0.00,0.00,0.00,0.00
32780,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,145.80,95.51,17.79,0.00,0.00
32780,31-9,Medical Assistants,Healthcare Support,3600,low,93.21,61.06,11.37,0.00,0.00
32780,35-2,"Cooks, Restaurant",Food Preparation and Serving,4000,low,144.64,101.76,35.65,0.00,0.00
32780,35-3,Fast Food and Counter Workers,Food Preparation and Serving,4000,low,331.52,233.24,81.70,0.00,0.00
32780,39-9,Childcare Workers,Personal Care and Service,4300,low,134.96,0.00,0.00,0.00,0.00
32820,13-1,"Business Operations Specialists, All Other",Business and Financial Operations,500,low,2978.67,2671.61,2188.06,1736.41,1313.29
32820,13-2,Accountants and Auditors,Business and Financial Operations,500,low,1386.69,1243.75,1018.63,808.37,611.39
32820,15-1,Software Developers,Computer and Mathematical,1000,low,263.73,0.00,0.00,0.00,0.00
32820,15-2,Data Scientists,Computer and Mathematical,1000,low,17.47,0.00,0.00,0.00,0.00
32820,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,2069.33,1546.06,763.17,75.82,0.00
32820,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,777.20,618.10,373.00,150.07,0.00
32820,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,2752.12,2188.72,1320.79,531.39,0.00
32820,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,424.97,337.97,203.95,82.06,0.00
32820,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,1029.54,818.78,494.10,198.79,0.00
32820,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,3118.51,0.00,0.00,0.00,0.00
32820,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,1835.98,0.00,0.00,0.00,0.00
32820,33-1,First-Line Supervisors of Police and Detectives,Protective Service,3700,low,759.88,711.11,635.34,565.71,501.49
32820,33-3,Police and Sheriff's Patrol Officers,Protective Service,3700,low,1695.96,1587.13,1418.02,1262.62,1119.27
32820,33-9,Security Guards,Protective Service,3700,low,3369.09,3152.88,2816.95,2508.23,2223.47
32820,37-2,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance,4200,low,252.56,0.00,0.00,0.00,0.00
32820,37-3,Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance,4200,low,64.96,0.00,0.00,0.00,0.00
32820,43-1,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,5000,low,766.85,0.00,0.00,0.00,0.00
32820,43-3,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,5000,low,873.85,0.00,0.00,0.00,0.00
32820,43-4,Customer Service Representatives,Office and Administrative Support,5000,low,1770.07,0.00,0.00,0.00,0.00
32820,43-5,"Shipping, Receiving, and Inventory Clerks",Office and Administrative Support,5000,low,1269.40,0.00,0.00,0.00,0.00
32820,43-6,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support,5000,low,1111.86,0.00,0.00,0.00,0.00
32820,43-9,"Office Clerks, General",Office and Administrative Support,5000,low,1079.56,0.00,0.00,0.00,0.00
32820,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,109.01,16.56,0.00,0.00,0.00
32820,47-2,Construction Laborers,Construction and Extraction,6200,low,597.76,90.79,0.00,0.00,0.00
32820,47-3,Helpers--Electricians,Construction and Extraction,6200,low,37.62,5.71,0.00,0.00,0.00
32820,47-4,Construction and Building Inspectors,Construction and Extraction,6200,low,42.37,6.43,0.00,0.00,0.00
32820,49-1,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",7000,low,193.60,120.76,10.09,0.00,0.00
32820,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,741.49,462.53,38.64,0.00,0.00
32820,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,1037.67,647.28,54.08,0.00,0.00
32820,51-1,First-Line Supervisors of Production and Operating Workers,Production,7700,low,1074.29,990.85,861.24,742.16,632.35
32820,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,2107.67,1943.97,1689.68,1456.05,1240.62
32820,51-3,Bakers,Production,7700,low,895.54,825.99,717.94,618.67,527.14
32820,51-4,"Welders, Cutters, Solderers, and Brazers",Production,7700,low,1637.28,1510.11,1312.58,1131.09,963.74
32820,51-6,Laundry and Dry-Cleaning Workers,Production,7700,low,531.52,490.24,426.11,367.20,312.87
32820,51-9,"Inspectors, Testers, Sorters, Samplers, and Weighers",Production,7700,low,3901.14,3598.15,3127.48,2695.05,2296.30
32820,53-1,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",Transportation and Material Moving,9000,low,1980.29,1870.21,1699.39,1542.64,1398.26
32820,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,8213.41,7756.85,7048.34,6398.21,5799.40
32820,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,19674.25,18580.62,16883.47,15326.14,13891.77
32900,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,617.42,529.39,393.77,270.41,157.74
32900,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,476.99,408.98,304.21,208.91,121.86
32900,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,454.24,389.47,289.70,198.94,116.05
32900,45-2,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",6000,low,7611.77,7273.13,6758.57,6298.28,5884.53
32900,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,387.78,282.71,119.67,0.00,0.00
32900,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,773.30,563.79,238.65,0.00,0.00
33100,23-1,Lawyers,Legal,2100,low,11074.29,10587.65,9821.24,9105.35,8434.67
33100,23-2,Paralegals and Legal Assistants,Legal,2100,low,6740.32,6444.13,5977.66,5541.94,5133.73
33100,27-1,Graphic Designers,"Arts, Design, Entertainment, Sports, Media",2600,low,1252.30,751.52,0.00,0.00,0.00
33100,27-2,Producers and Directors,"Arts, Design, Entertainment, Sports, Media",2600,low,749.85,449.99,0.00,0.00,0.00
33100,27-3,Public Relations Specialists,"Arts, Design, Entertainment, Sports, Media",2600,low,1024.59,614.87,0.00,0.00,0.00
33100,27-4,Audio and Video Technicians,"Arts, Design, Entertainment, Sports, Media",2600,low,528.53,317.18,0.00,0.00,0.00
33100,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,12217.99,10722.24,8410.50,6299.64,4364.54
33100,31-2,Physical Therapist Aides,Healthcare Support,3600,low,896.42,786.68,617.07,462.20,320.22
33100,31-9,Medical Assistants,Healthcare Support,3600,low,8171.16,7170.83,5624.79,4213.08,2918.92
33100,33-1,First-Line Supervisors of Police and Detectives,Protective Service,3700,low,1345.54,1168.01,892.13,638.57,404.68
33100,33-2,Firefighters,Protective Service,3700,low,1126.06,977.48,746.61,534.41,338.67
33100,33-3,Police and Sheriff's Patrol Officers,Protective Service,3700,low,3891.17,3377.75,2579.94,1846.69,1170.29
33100,33-9,Security Guards,Protective Service,3700,low,7740.98,6719.59,5132.45,3673.75,2328.15
33100,37-1,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance,4200,low,3371.76,1443.23,0.00,0.00,0.00
33100,37-2,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance,4200,low,27096.90,11598.43,0.00,0.00,0.00
33100,37-3,Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance,4200,low,9737.22,4167.87,0.00,0.00,0.00
33100,41-1,First-Line Supervisors of Retail Sales Workers,Sales and Related,4700,low,1561.83,0.00,0.00,0.00,0.00
33100,41-2,Retail Salespersons,Sales and Related,4700,low,8972.84,0.00,0.00,0.00,0.00
33100,41-3,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sales and Related,4700,low,3896.09,0.00,0.00,0.00,0.00
33100,41-4,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related,4700,low,2321.07,0.00,0.00,0.00,0.00
33100,41-9,"Sales and Related Workers, All Other",Sales and Related,4700,low,840.01,0.00,0.00,0.00,0.00
33100,45-2,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",6000,low,1572.18,1212.64,665.89,176.33,0.00
33100,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,8750.37,7874.83,6521.47,5285.51,4152.29
33100,47-2,Construction Laborers,Construction and Extraction,6200,low,37615.71,33851.99,28034.22,22721.11,17849.70
33100,47-3,Helpers--Electricians,Construction and Extraction,6200,low,1974.71,1777.12,1471.71,1192.79,937.05
33100,47-4,Construction and Building Inspectors,Construction and Extraction,6200,low,2507.56,2256.66,1868.83,1514.65,1189.91
33100,49-1,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",7000,low,1572.27,1173.97,568.80,27.48,0.00
33100,49-2,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Installation, Maintenance, and Repair",7000,low,1327.31,991.07,480.18,23.20,0.00
33100,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,4488.12,3351.17,1623.67,78.43,0.00
33100,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,8237.81,6150.97,2980.20,143.96,0.00
33100,53-1,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",Transportation and Material Moving,9000,low,755.77,494.39,88.73,0.00,0.00
33100,53-2,Flight Attendants,Transportation and Material Moving,9000,low,959.90,627.92,112.69,0.00,0.00
33100,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,4247.96,2778.84,498.70,0.00,0.00
33100,53-5,Sailors and Marine Oilers,Transportation and Material Moving,9000,low,181.35,118.63,21.29,0.00,0.00
33100,53-6,Parking Attendants,Transportation and Material Moving,9000,low,788.26,515.64,92.54,0.00,0.00
33100,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,8611.33,5633.18,1010.95,0.00,0.00
33140,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,70.06,23.68,0.00,0.00,0.00
33140,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,213.24,153.91,63.75,0.00,0.00
33140,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,54.85,17.64,0.00,0.00,0.00
33140,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,81.32,26.16,0.00,0.00,0.00
33260,17-2,Mechanical Engineers,Architecture and Engineering,1300,low,929.68,505.22,0.00,0.00,0.00
33260,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,315.52,227.42,95.59,0.00,0.00
33260,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,875.44,748.80,553.71,376.29,214.25
33260,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,320.60,274.22,202.78,137.80,78.46
33260,47-1,First-Line Supervisors of Construction Trades and Extraction Workers,Construction and Extraction,6200,low,30.37,0.00,0.00,0.00,0.00
33260,47-2,Construction Laborers,Construction and Extraction,6200,low,59.72,0.00,0.00,0.00,0.00
33260,47-5,"Service Unit Operators, Oil and Gas",Construction and Extraction,6200,low,85.05,0.00,0.00,0.00,0.00
33260,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,526.65,416.03,247.96,97.65,0.00
33340,11-1,General and Operations Managers,Management,10,low,756.54,0.00,0.00,0.00,0.00
33340,11-2,Marketing Managers,Management,10,low,268.83,0.00,0.00,0.00,0.00
33340,11-3,Financial Managers,Management,10,low,938.27,0.00,0.00,0.00,0.00
33340,11-9,"Managers, All Other",Management,10,low,866.88,0.00,0.00,0.00,0.00
33340,13-1,"Business Operations Specialists, All Other",Business and Financial Operations,500,low,5983.38,5487.18,4705.72,3975.80,3291.98
33340,13-2,Accountants and Auditors,Business and Financial Operations,500,low,2602.53,2386.70,2046.80,1729.31,1431.88
33340,15-1,Software Developers,Computer and Mathematical,1000,low,2588.55,1721.83,392.55,0.00,0.00
33340,15-2,Data Scientists,Computer and Mathematical,1000,low,463.51,308.32,70.29,0.00,0.00
33340,17-2,Mechanical Engineers,Architecture and Engineering,1300,low,3984.00,1424.64,0.00,0.00,0.00
33340,17-3,Architectural and Civil Drafters,Architecture and Engineering,1300,low,1248.19,446.34,0.00,0.00,0.00
33340,19-1,"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science",1600,low,328.71,299.42,253.30,210.21,169.84
33340,19-2,Chemists,"Life, Physical, and Social Science",1600,low,190.66,173.68,146.92,121.93,98.51
33340,19-3,Clinical and Counseling Psychologists,"Life, Physical, and Social Science",1600,low,386.28,351.86,297.66,247.02,199.59
33340,19-4,Biological Technicians,"Life, Physical, and Social Science",1600,low,215.59,196.38,166.13,137.87,111.39
33340,19-5,Occupational Health and Safety Specialists,"Life, Physical, and Social Science",1600,low,185.82,169.26,143.19,118.83,96.01
33340,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,1689.09,1032.00,48.88,0.00,0.00
33340,25-1,"Postsecondary Teachers, All Other","Education, Training, and Library",2200,low,840.01,659.37,381.10,128.01,0.00
33340,25-2,"Elementary School Teachers, Except Special Education","Education, Training, and Library",2200,low,3553.88,2789.63,1612.33,541.56,0.00
33340,25-3,Self-Enrichment Teachers,"Education, Training, and Library",2200,low,776.37,609.42,352.23,118.31,0.00
33340,25-4,Librarians and Media Collections Specialists,"Education, Training, and Library",2200,low,216.67,170.08,98.30,33.02,0.00
33340,25-9,"Teaching Assistants, Except Postsecondary","Education, Training, and Library",2200,low,1298.31,1019.11,589.02,197.84,0.00
33340,27-1,Graphic Designers,"Arts, Design, Entertainment, Sports, Media",2600,low,668.91,550.76,366.33,195.91,37.89
33340,27-2,Producers and Directors,"Arts, Design, Entertainment, Sports, Media",2600,low,566.28,466.25,310.12,165.85,32.07
33340,27-3,Public Relations Specialists,"Arts, Design, Entertainment, Sports, Media",2600,low,555.16,457.09,304.03,162.59,31.44
33340,27-4,Audio and Video Technicians,"Arts, Design, Entertainment, Sports, Media",2600,low,210.59,173.39,115.33,61.68,11.93
33340,29-1,Registered Nurses,Healthcare Practitioners and Technical,3000,low,6926.85,796.34,0.00,0.00,0.00
33340,29-2,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners and Technical,3000,low,2926.36,336.43,0.00,0.00,0.00
33340,31-1,Home Health and Personal Care Aides,Healthcare Support,3600,low,4246.92,3790.41,3084.87,2440.66,1850.12
33340,31-9,Medical Assistants,Healthcare Support,3600,low,989.91,883.50,719.05,568.89,431.24
33340,35-1,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving,4000,low,90.59,0.00,0.00,0.00,0.00
33340,35-2,"Cooks, Restaurant",Food Preparation and Serving,4000,low,203.22,0.00,0.00,0.00,0.00
33340,35-3,Fast Food and Counter Workers,Food Preparation and Serving,4000,low,446.98,0.00,0.00,0.00,0.00
33340,35-9,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Preparation and Serving,4000,low,72.15,0.00,0.00,0.00,0.00
33340,39-1,First-Line Supervisors of Personal Service Workers,Personal Care and Service,4300,low,343.47,7.94,0.00,0.00,0.00
33340,39-2,Animal Caretakers,Personal Care and Service,4300,low,389.20,9.00,0.00,0.00,0.00
33340,39-3,Amusement and Recreation Attendants,Personal Care and Service,4300,low,449.81,10.40,0.00,0.00,0.00
33340,39-5,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service,4300,low,742.35,17.17,0.00,0.00,0.00
33340,39-9,Childcare Workers,Personal Care and Service,4300,low,1069.45,24.73,0.00,0.00,0.00
33340,45-2,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farming, Fishing, and Forestry",6000,low,108.11,39.56,0.00,0.00,0.00
33340,49-1,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair",7000,low,64.00,0.00,0.00,0.00,0.00
33340,49-2,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Installation, Maintenance, and Repair",7000,low,44.22,0.00,0.00,0.00,0.00
33340,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,179.58,0.00,0.00,0.00,0.00
33340,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,406.36,0.00,0.00,0.00,0.00
33340,51-1,First-Line Supervisors of Production and Operating Workers,Production,7700,low,3142.08,2999.38,2777.72,2574.09,2386.35
33340,51-2,Miscellaneous Assemblers and Fabricators,Production,7700,low,7962.41,7600.78,7039.07,6523.07,6047.29
