met2013,soc_code,soc_title,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
10580,31-9,Medical Assistants,Healthcare Support,3600,low,446.85,389.60,301.12,220.33,146.26
10580,33-1,First-Line Supervisors of Police and Detectives,Protective Service,3700,low,304.12,269.74,216.31,167.20,121.90
10580,33-3,Police and Sheriff's Patrol Officers,Protective Service,3700,low,895.96,794.66,637.24,492.58,359.13
10580,33-9,Security Guards,Protective Service,3700,low,961.24,852.56,683.68,528.47,385.30
10580,37-2,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Building and Grounds Cleaning and Maintenance,4200,low,903.05,0.00,0.00,0.00,0.00
10580,37-3,Landscaping and Groundskeeping Workers,Building and Grounds Cleaning and Maintenance,4200,low,238.00,0.00,0.00,0.00,0.00
10580,39-2,Animal Caretakers,Personal Care and Service,4300,low,110.54,0.00,0.00,0.00,0.00
10580,39-3,Amusement and Recreation Attendants,Personal Care and Service,4300,low,122.05,0.00,0.00,0.00,0.00
10580,39-5,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service,4300,low,177.18,0.00,0.00,0.00,0.00
10580,39-9,Childcare Workers,Personal Care and Service,4300,low,477.81,0.00,0.00,0.00,0.00
10580,43-1,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,5000,low,400.99,0.00,0.00,0.00,0.00
10580,43-3,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,5000,low,666.23,0.00,0.00,0.00,0.00
10580,43-4,Customer Service Representatives,Office and Administrative Support,5000,low,1587.50,0.00,0.00,0.00,0.00
10580,43-5,"Shipping, Receiving, and Inventory Clerks",Office and Administrative Support,5000,low,648.36,0.00,0.00,0.00,0.00
10580,43-6,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support,5000,low,1228.99,0.00,0.00,0.00,0.00
10580,43-9,"Office Clerks, General",Office and Administrative Support,5000,low,892.42,0.00,0.00,0.00,0.00
10580,49-3,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",7000,low,227.39,110.96,0.00,0.00,0.00
10580,49-9,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair",7000,low,512.37,250.02,0.00,0.00,0.00
10580,53-3,Heavy and Tractor-Trailer Truck Drivers,Transportation and Material Moving,9000,low,225.14,37.18,0.00,0.00,0.00
10580,53-7,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,9000,low,365.64,60.38,0.00,0.00,0.00
10740,15-1,Software Developers,Computer and Mathematical,1000,low,350.50,0.00,0.00,0.00,0.00
10740,15-2,Data Scientists,Computer and Mathematical,1000,low,30.91,0.00,0.00,0.00,0.00
10740,17-2,Mechanical Engineers,Architecture and Engineering,1300,low,2259.82,715.03,0.00,0.00,0.00
10740,17-3,Architectural and Civil Drafters,Architecture and Engineering,1300,low,734.22,232.31,0.00,0.00,0.00
10740,19-2,Chemists,"Life, Physical, and Social Science",1600,low,810.63,779.27,729.87,683.73,640.50
10740,19-3,Clinical and Counseling Psychologists,"Life, Physical, and Social Science",1600,low,680.85,654.50,613.02,574.26,537.96
10740,21-1,Social and Human Service Assistants,Community and Social Service,2000,low,2029.27,1562.30,863.63,250.25,0.00
10740,23-1,Lawyers,Legal,2100,low,854.72,798.42,709.77,626.95,549.37
