state_abbr,occ_group,occ_group_code,demand_scenario,w_current,w_equilibrium,pct_change,supply_eq,demand_eq
AK,Architecture and Engineering,1300,high,102540.69468267582,109603.61991898427,6.88792411458251,4054.0770960831937,4054.3308035518176
AK,Architecture and Engineering,1300,low,102540.69468267582,108810.00390259034,6.1139718619184595,4063.713293038409,4063.8644735838143
AK,Architecture and Engineering,1300,mid,102540.69468267584,109232.23830396046,6.525744380796722,4058.619899684313,4058.825307716223
AK,"Arts, Design, Entertainment, Sports, Media",2600,high,54836.24441562185,55281.921298772926,0.8127414411773846,3510.4868736689,3514.8428158147694
AK,"Arts, Design, Entertainment, Sports, Media",2600,low,54836.24441562185,54815.05430624294,-0.0386425248569155,3518.200136500795,3520.4686324204094
AK,"Arts, Design, Entertainment, Sports, Media",2600,mid,54836.24441562185,55061.91389622916,0.4115334356176744,3514.0841751486005,3517.457332907915
AK,Building and Grounds Cleaning and Maintenance,4200,high,28866.08546113874,29992.588450724557,3.9025138725595014,5094.895587249829,5095.142692576841
AK,Building and Grounds Cleaning and Maintenance,4200,low,28866.085461138733,29816.307785355606,3.291829526023262,5133.448330779208,5133.472892468281
AK,Building and Grounds Cleaning and Maintenance,4200,mid,28866.085461138737,29909.846978153535,3.615874824523653,5112.934253082865,5113.07681299243
AK,Business and Financial Operations,500,high,72965.23659902194,75511.68630081169,3.4899492148345694,9072.8165591759,9102.92370818608
AK,Business and Financial Operations,500,low,72965.23659902194,73821.55295604152,1.1735949843148377,9029.488198579931,9044.713240941564
AK,Business and Financial Operations,500,mid,72965.23659902194,74712.79002929403,2.3950493573750937,9052.393567541303,9075.44794388843
AK,Community and Social Service,2000,high,53702.01632494411,65991.2771482355,22.88417021240063,3115.1645156253135,3117.0019602535954
AK,Community and Social Service,2000,low,53702.01632494412,64963.24405824826,20.969841551505024,3110.3648081988676,3111.8174230059353
AK,Community and Social Service,2000,mid,53702.01632494412,65507.39855347727,21.98312658709179,3112.91947273661,3114.5749535937957
AK,Computer and Mathematical,1000,high,79856.88948265536,68432.96414549794,-14.30549751081734,5781.19457847369,5778.317984297652
AK,Computer and Mathematical,1000,low,79856.88948265536,67456.10090153578,-15.52876484603496,5775.334148099846,5770.545833353365
AK,Computer and Mathematical,1000,mid,79856.88948265536,67972.11630741843,-14.88258965786322,5778.4118169448175,5774.637592124825
AK,Construction and Extraction,6200,high,72683.57101812673,87043.33881364483,19.756552401555616,11867.135971295756,11885.18164976165
AK,Construction and Extraction,6200,low,72683.57101812673,83884.67415502679,15.41077712610816,11680.025847444596,11689.893835200442
AK,Construction and Extraction,6200,mid,72683.57101812673,85555.71689841877,17.709842403150255,11779.872011381243,11794.013945953411
AK,"Education, Training, and Library",2200,high,49135.341483053955,54074.08231731872,10.051300520559238,10306.28072206408,10326.920447976829
AK,"Education, Training, and Library",2200,low,49135.341483053955,53529.30056313508,8.942563432873541,10314.235489991175,10331.376848398912
AK,"Education, Training, and Library",2200,mid,49135.341483053955,53817.08138910619,9.528253523315607,10309.946387853955,10328.9352074797
AK,"Farming, Fishing, and Forestry",6000,high,36403.42408734221,62928.01778875276,72.86290882355043,672.5866893056684,673.5687063302341
AK,"Farming, Fishing, and Forestry",6000,low,36403.42408734221,62436.61663471,71.51303263370703,677.5793488489766,678.3437798349438
AK,"Farming, Fishing, and Forestry",6000,mid,36403.42408734221,62696.845009505094,72.22787850691591,674.918988100866,675.7987313833605
AK,Food Preparation and Serving,4000,high,26502.9276972017,25117.413564511848,-5.227777657319501,8619.414885856842,8621.056446389246
