met2013,occ_group,occ_group_code,demand_scenario,shortage_2pct,shortage_5pct,shortage_10pct,shortage_15pct,shortage_20pct
10420,Architecture and Engineering,1300,high,917.579416381258,0.0,0.0,0.0,0.0
10420,Architecture and Engineering,1300,low,776.2701128458002,0.0,0.0,0.0,0.0
10420,Architecture and Engineering,1300,mid,850.8025044049236,0.0,0.0,0.0,0.0
10420,Business and Financial Operations,500,high,418.6074802009607,163.15050893555963,0.0,0.0,0.0
10420,Business and Financial Operations,500,low,103.18521102580416,0.0,0.0,0.0,0.0
10420,Business and Financial Operations,500,mid,269.5520070147868,16.239830635575345,0.0,0.0,0.0
10420,Community and Social Service,2000,high,884.7787090812335,572.6963256487143,105.74676724232177,0.0,0.0
10420,Community and Social Service,2000,low,722.6449578132851,419.13825753553374,0.0,0.0,0.0
10420,Community and Social Service,2000,mid,808.161027400447,500.13115590334473,39.24196585055597,0.0,0.0
10420,Computer and Mathematical,1000,high,2420.3935965390865,1952.380284766181,1234.5984212314124,585.2566794586401,0.0
10420,Computer and Mathematical,1000,low,1302.2603872266573,872.9361581460998,214.46512577223984,0.0,0.0
10420,Computer and Mathematical,1000,mid,1892.0102486065607,1442.27979156971,752.5257652161072,128.525740617908,0.0
10420,"Education, Training, and Library",2200,high,3349.514901485676,2701.2084474435287,1702.4812914042775,794.1119965666367,0.0
10420,"Education, Training, and Library",2200,low,3068.630509788345,2429.096515507488,1443.87861232489,547.7908742513209,0.0
10420,"Education, Training, and Library",2200,mid,3216.780595742006,2572.6196420925407,1580.276398267877,677.7108574255362,0.0
10420,Food Preparation and Serving,4000,high,1801.1510377323775,1305.317857067599,540.8360557650576,0.0,0.0
10420,Food Preparation and Serving,4000,low,1752.5667005781345,1258.2302186743818,496.0545902478643,0.0,0.0
10420,Food Preparation and Serving,4000,mid,1778.1920964283945,1283.0661934793734,519.6741937630795,0.0,0.0
10420,Healthcare Practitioners and Technical,3000,high,1915.85609511262,0.0,0.0,0.0,0.0
10420,Healthcare Practitioners and Technical,3000,low,1491.5305759559014,0.0,0.0,0.0,0.0
10420,Healthcare Practitioners and Technical,3000,mid,1715.3374658849789,0.0,0.0,0.0,0.0
10420,Healthcare Support,3600,high,2542.7556881984992,2274.391102406579,1859.623430920371,1480.8957997382158,1133.7033899957378
10420,Healthcare Support,3600,low,2240.148347515341,1980.5241056976347,1579.2586046423469,1212.8528270644128,876.950003532229
10420,Healthcare Support,3600,mid,2399.756018349276,2135.5217563619926,1727.1346502299175,1354.229815657246,1012.3723957969088
10420,"Installation, Maintenance, and Repair",7000,high,1954.5231627199971,1513.8437575532134,844.2785160726271,245.3662305517173,0.0
10420,"Installation, Maintenance, and Repair",7000,low,1808.129422427144,1373.5778942207162,713.3152494770638,122.7149715530013,0.0
10420,"Installation, Maintenance, and Repair",7000,mid,1885.3435569556095,1447.5599321100472,782.3907117541276,187.4063360435011,0.0
10420,Production,7700,high,10386.866600479536,9788.695154833584,8859.495648909156,8005.82383507082,7218.642313639279
10420,Production,7700,low,10865.298675198395,10255.21184570724,9307.507333558517,8436.839442432945,7633.989823131598
10420,Production,7700,mid,10612.953742237636,10009.151580720269,9071.207376882505,8209.503922320186,7414.918308121136
10420,Transportation and Material Moving,9000,high,4687.217320333253,4115.847265435386,3229.039365468252,2415.1537746412214,1665.3993195981602
10420,Transportation and Material Moving,9000,low,4362.990660964257,3799.9380829733745,2926.0346400330927,2123.986983590672,1385.1329435021871
10420,Transportation and Material Moving,9000,mid,4534.0012577572015,3966.561697238598,3085.8519080782207,2277.560433721974,1532.957062377689
10540,Building and Grounds Cleaning and Maintenance,4200,high,53.17909830772646,0.0,0.0,0.0,0.0
10540,Building and Grounds Cleaning and Maintenance,4200,low,11.512278769329896,0.0,0.0,0.0,0.0
10540,Building and Grounds Cleaning and Maintenance,4200,mid,33.4890887256513,0.0,0.0,0.0,0.0
10540,Healthcare Practitioners and Technical,3000,high,3.617487848379824,0.0,0.0,0.0,0.0
10540,"Installation, Maintenance, and Repair",7000,high,221.1103389241971,180.79552331605805,119.53229263492858,64.72338083165596,15.448593028239884
10540,"Installation, Maintenance, and Repair",7000,low,178.7606632340669,140.21855731570656,81.64643865956612,29.24207520211951,0.0
10540,"Installation, Maintenance, and Repair",7000,mid,201.09763986594464,161.6205332829885,101.6290104534661,47.95638840051265,0.0
10540,Personal Care and Service,4300,high,361.74046288939394,238.64378759161357,72.21181898490545,0.0,0.0
10540,Personal Care and Service,4300,low,296.85421722934734,181.868360748864,26.387836506514983,0.0,0.0
10540,Personal Care and Service,4300,mid,331.07791621688216,211.81407726227155,50.55730673549078,0.0,0.0
10540,Production,7700,high,468.3833583842925,426.32400121813066,360.9797355960862,300.93666456813366,245.56135562640816
10540,Production,7700,low,429.96393183537725,388.8614131393618,325.00315099615864,266.3249122557161,212.20779515997788
10540,Production,7700,mid,450.22793194986366,408.6207369322508,343.9786948795004,284.5805869448848,229.79984724981728
10540,Sales and Related,4700,high,107.2868793513735,0.0,0.0,0.0,0.0
10540,Sales and Related,4700,low,80.93895617221801,0.0,0.0,0.0,0.0
10540,Sales and Related,4700,mid,94.83594439610556,0.0,0.0,0.0,0.0
10540,Transportation and Material Moving,9000,high,446.7193828544075,394.4022357081642,313.19465878776623,238.6565002502232,169.98445078971372
10540,Transportation and Material Moving,9000,low,363.4976941473137,313.31545618876316,235.4201630506816,163.92053592881075,98.04637773946617
10540,Transportation and Material Moving,9000,mid,407.39226678861087,356.08398911760514,276.4416600403324,203.33938533920468,135.98950317029949
10580,Architecture and Engineering,1300,high,3753.08174085288,1527.250692109741,0.0,0.0,0.0
10580,Architecture and Engineering,1300,low,3523.73365755733,1338.2046455322725,0.0,0.0,0.0
10580,Architecture and Engineering,1300,mid,3644.7013555067338,1437.9153766284744,0.0,0.0,0.0
10580,Building and Grounds Cleaning and Maintenance,4200,high,1791.449173905292,0.0,0.0,0.0,0.0
10580,Building and Grounds Cleaning and Maintenance,4200,low,1216.3973291101229,0.0,0.0,0.0,0.0
10580,Building and Grounds Cleaning and Maintenance,4200,mid,1519.7035388977274,0.0,0.0,0.0,0.0
10580,Business and Financial Operations,500,high,6821.419679236769,6396.60828904236,5727.58489334683,5102.66744254241,4517.213326059933
10580,Business and Financial Operations,500,low,5834.997942621932,5424.380410936003,4777.710069385295,4173.671537971688,3607.777420623879
10580,Business and Financial Operations,500,mid,6355.277706773159,5937.173745010652,5278.713474967044,4663.662534912015,4087.451662206091
10580,Community and Social Service,2000,high,3929.0044949760377,3348.4132432683,2479.8905615131616,1717.5320211483831,1044.5341793660064
10580,Community and Social Service,2000,low,3040.298881575438,2506.7136215183364,1708.4865067520614,1007.8061887221656,389.23467542462
10580,Community and Social Service,2000,mid,3509.039106752043,2950.66093577064,2115.3570214405654,1382.1450490700154,734.8668312295622
10580,Computer and Mathematical,1000,high,4517.980239381333,3834.405707235619,2786.111591409259,1837.8714760513649,976.3701618257164
10580,Computer and Mathematical,1000,low,3882.493440760773,3220.907703060082,2206.3226747593035,1288.5610496525333,454.7383800877051
10580,Computer and Mathematical,1000,mid,4217.675553476747,3544.4920129670027,2512.127412849659,1578.2901670109711,729.8686314828119
10580,"Education, Training, and Library",2200,high,9536.535039511771,8404.222091950127,6660.035585225116,5073.830639827847,3625.310415698728
